CertificationCourses,Gender,Department,Height(CM),Weight(KG),10Mark,12Mark,CollegeMark,Hobbies,DailyStudingTime,PreferToStudyIn,SalaryExpectation,LikeDegree,CareerBasedonDegree,GamesSpendingTime,TravellingTime ,StressLevel ,FinancialStatus,PartTimeJob?
No,Male,BCA,178,83,85.8,63.66,80,Sports,0 - 30 minute,Anytime,20000,Yes,75%,1.30 - 2 hour,0 - 30 minutes,Good,good,No
No,Male,BCA,180,67,80,70,60,Video Games,0 - 30 minute,Anytime,10000,Yes,25%,1 - 30 Minute,0 - 30 minutes,Good,good,No
No,Female,BCA,150,48,75,50,78,Sports,0 - 30 minute,Night,18000,Yes,50%,1 - 1.30 hour,0 - 30 minutes,Bad,Bad,No
Yes,Female,BCA,170,50,95,75,85,Reading books,2 - 3 hour,Anytime,25000,Yes,50%,1 - 1.30 hour,1.30 - 2 hour,Good,good,No
Yes,Female,BCA,162,65,95,85,86,Reading books,1 - 2 Hour,Night,15000,Yes,50%,1.30 - 2 hour,30 - 60 minutes,Good,good,No
Yes,Male,BCA,170,65,90,64,80,Reading books,30 - 60 minute,Anytime,20000,Yes,75%,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,No
Yes,Male,BCA,153,63,79.4,61.33,80.87,Sports,1 - 2 Hour,Anytime,25000,Yes,75%,1.30 - 2 hour,1 - 1.30 hour,Good,Bad,No
No,Male,BCA,165,84,90,74,74,Cinema,30 - 60 minute,Anytime,30000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Bad,Bad,No
No,Male,BCA,163,60,77,70,60,Video Games,2 - 3 hour,Anytime,20000,Yes,75%,30 - 60 Minute,2 - 2.30 hour,Good,good,No
Yes,Male,BCA,183,80,80,60,70,Video Games,0 - 30 minute,Anytime,10000,Yes,50%,1 - 30 Minute,0 - 30 minutes,Good,Bad,No
Yes,Male,BCA,175,85,90,57,68,Reading books,1 - 2 Hour,Anytime,30000,Yes,100%,0 Minute,30 - 60 minutes,Good,Bad,No
Yes,Male,BCA,156,53,84,63,70,Sports,0 - 30 minute,Morning,20000,Yes,50%,More than 2 hour,more than 3 hour,Good,Bad,No
Yes,Male,BCA,154,50,86,68,70,Sports,30 - 60 minute,Anytime,20000,Yes,100%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,Yes
Yes,Female,BCA,172,49,94,69,85,Cinema,30 - 60 minute,Anytime,12000,Yes,50%,30 - 60 Minute,2 - 2.30 hour,Bad,good,No
Yes,Male,BCA,155,52,69,54,50,Cinema,30 - 60 minute,Anytime,16000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,good,No
Yes,Male,BCA,172,72,85,64,80,Cinema,0 - 30 minute,Morning,15000,No,75%,1 - 30 Minute,30 - 60 minutes,Bad,Bad,No
No,Male,BCA,181,60,88,88,80,Reading books,1 - 2 Hour,Anytime,15000,No,50%,30 - 60 Minute,1.30 - 2 hour,Bad,Awful,Yes
No,Male,BCA,150,65,85,50,70,Video Games,30 - 60 minute,Anytime,25000,Yes,75%,1.30 - 2 hour,0 - 30 minutes,Bad,Bad,No
Yes,Male,BCA,179,70,69,60,68,Video Games,0 - 30 minute,Night,20000,Yes,100%,30 - 60 Minute,30 - 60 minutes,Good,good,No
Yes,Male,BCA,187,65,85,60,60,Sports,30 - 60 minute,Anytime,17000,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Bad,good,No
Yes,Male,BCA,167,80,85,72,70,Sports,1 - 2 Hour,Anytime,18000,No,50%,1.30 - 2 hour,1 - 1.30 hour,Good,Bad,Yes
Yes,Male,BCA,170,50,70,78,75,Cinema,0 - 30 minute,Anytime,15000,Yes,75%,More than 2 hour,0 - 30 minutes,Bad,good,No
Yes,Female,B.com Accounting and Finance ,132,57,72,75,80,Reading books,2 - 3 hour,Night,20000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,good,Yes
Yes,Male,BCA,169,85,80,60,68,Video Games,30 - 60 minute,Night,20000,Yes,100%,1.30 - 2 hour,30 - 60 minutes,Bad,good,No
Yes,Male,BCA,150,60,60,68.1,70,Sports,30 - 60 minute,Morning,15000,Yes,75%,1 - 1.30 hour,30 - 60 minutes,Good,Bad,Yes
Yes,Male,BCA,180,75,84,55,70,Video Games,30 - 60 minute,Anytime,20000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Bad,good,No
Yes,Female,BCA,154,45,72.6,62.6,85,Cinema,0 - 30 minute,Night,17000,Yes,100%,30 - 60 Minute,30 - 60 minutes,Good,good,No
Yes,Female,BCA,139,62,91,86,90,Cinema,30 - 60 minute,Morning,20000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,good,No
No,Male,BCA,175,60,90,65,65,Sports,0 - 30 minute,Anytime,20000,Yes,75%,1 - 30 Minute,1 - 1.30 hour,Good,Bad,No
Yes,Male,BCA,172,72,78,67,80,Cinema,3 - 4 hour,Anytime,20000,Yes,100%,1 - 30 Minute,1 - 1.30 hour,Good,good,No
Yes,Male,BCA,170,55,91,81,75,Reading books,30 - 60 minute,Anytime,20000,Yes,75%,30 - 60 Minute,1.30 - 2 hour,Good,Bad,No
No,Male,BCA,170,65,82,55,75,Cinema,30 - 60 minute,Anytime,25000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Good,Bad,No
No,Male,BCA,185,65,80.5,53,80,Sports,2 - 3 hour,Morning,50000,Yes,75%,1 - 1.30 hour,1.30 - 2 hour,Good,Awful,No
Yes,Male,BCA,177,57,75,57,55,Sports,0 - 30 minute,Morning,18000,Yes,50%,1.30 - 2 hour,0 - 30 minutes,Good,good,No
No,Male,BCA,170,86,75,68,70,Sports,0 - 30 minute,Anytime,20000,Yes,75%,1 - 1.30 hour,0 - 30 minutes,Good,good,No
Yes,Male,B.com Accounting and Finance ,174,65,90,85,82,Cinema,1 - 2 Hour,Anytime,5000,Yes,50%,1 - 30 Minute,30 - 60 minutes,Good,good,No
Yes,Male,BCA,167,72,85,60,60,Video Games,2 - 3 hour,Anytime,20000,Yes,50%,1 - 30 Minute,30 - 60 minutes,fabulous,good,No
Yes,Female,BCA,155,48,84.2,64.8,84,Sports,30 - 60 minute,Anytime,20000,Yes,75%,1 - 30 Minute,1.30 - 2 hour,Good,good,No
Yes,Male,BCA,134,40,91.4,65.5,82.96,Cinema,0 - 30 minute,Morning,20000,Yes,75%,More than 2 hour,30 - 60 minutes,Good,good,No
No,Male,BCA,159,51,86,72,80,Reading books,More Than 4 hour,Morning,12500,No,75%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
Yes,Female,BCA,150,50,85,55,75,Video Games,2 - 3 hour,Anytime,20000,Yes,75%,30 - 60 Minute,1 - 1.30 hour,Good,good,Yes
Yes,Female,BCA,150,40,80,60,60,Sports,30 - 60 minute,Anytime,15000,Yes,75%,More than 2 hour,0 - 30 minutes,Good,good,No
Yes,Male,BCA,180,85,78,58,69,Sports,0 - 30 minute,Morning,12000,No,0%,1 - 30 Minute,30 - 60 minutes,Good,good,No
Yes,Male,BCA,120,55,75,65,65,Sports,30 - 60 minute,Morning,20000,Yes,50%,30 - 60 Minute,0 - 30 minutes,Good,good,No
Yes,Male,BCA,182,58,80,60,65,Sports,1 - 2 Hour,Night,25000,Yes,50%,30 - 60 Minute,30 - 60 minutes,Bad,good,No
Yes,Male,BCA,165,67,90,70,50,Reading books,30 - 60 minute,Morning,15000,No,25%,1 - 30 Minute,more than 3 hour,Good,Bad,Yes
Yes,Female,B.com Accounting and Finance ,160,38,80,88,80,Sports,2 - 3 hour,Anytime,10000,Yes,100%,30 - 60 Minute,2 - 2.30 hour,Good,good,No
Yes,Male,B.com Accounting and Finance ,170,80,75,90,85,Sports,More Than 4 hour,Anytime,100000,Yes,100%,30 - 60 Minute,1.30 - 2 hour,fabulous,Bad,No
No,Male,BCA,165,45,50,50,65,Cinema,0 - 30 minute,Night,15000,Yes,25%,1 - 30 Minute,0 - 30 minutes,fabulous,Fabulous,Yes
Yes,Female,B.com Accounting and Finance ,148,78,71.2,79.5,70,Cinema,30 - 60 minute,Anytime,5000,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
No,Female,B.com Accounting and Finance ,130,35,80.2,70,12,Reading books,More Than 4 hour,Morning,30000,No,50%,30 - 60 Minute,1 - 1.30 hour,Good,Bad,No
No,Female,BCA,140,45,85,63,74,Sports,30 - 60 minute,Night,10000,Yes,75%,More than 2 hour,30 - 60 minutes,Bad,Bad,No
Yes,Male,BCA,175,70,90.2,72.8,85,Video Games,1 - 2 Hour,Morning,20000,Yes,75%,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,No
No,Male,BCA,175,76,61.8,68.3,66.3,Sports,2 - 3 hour,Morning,30000,Yes,50%,30 - 60 Minute,1.30 - 2 hour,Good,good,No
No,Male,BCA,160,70,80,69,60,Sports,30 - 60 minute,Morning,20000,Yes,50%,30 - 60 Minute,1 - 1.30 hour,Awful,good,No
Yes,Female,BCA,155,43,79,61,70,Cinema,1 - 2 Hour,Night,13000,Yes,50%,1.30 - 2 hour,0 - 30 minutes,Awful,Awful,No
Yes,Female,BCA,156,50,64,49.5,85,Reading books,2 - 3 hour,Night,100000,Yes,75%,30 - 60 Minute,30 - 60 minutes,Bad,Bad,No
Yes,Female,BCA,160,50,86,68,80,Video Games,2 - 3 hour,Anytime,25000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,Bad,No
Yes,Male,BCA,175,68.9,71,66,80,Video Games,30 - 60 minute,Morning,15000,Yes,75%,1 - 1.30 hour,2 - 2.30 hour,Good,good,No
Yes,Female,BCA,155,50,80,73,80,Cinema,0 - 30 minute,Anytime,50000,Yes,75%,1 - 30 Minute,30 - 60 minutes,Good,Bad,Yes
No,Male,Commerce,150,55,50,50,35,Sports,3 - 4 hour,Morning,15000,Yes,75%,More than 2 hour,1 - 1.30 hour,Good,Bad,No
Yes,Male,Commerce,165,75,65,75,97,Cinema,0 - 30 minute,Anytime,15000,Yes,50%,1 - 1.30 hour,0 - 30 minutes,fabulous,good,Yes
No,Male,Commerce,156,50,90,80,80,Sports,1 - 2 Hour,Morning,15000,No,25%,1 - 1.30 hour,30 - 60 minutes,Awful,Bad,No
Yes,Male,Commerce,167,53,85,91,88,Video Games,30 - 60 minute,Morning,40000,Yes,25%,30 - 60 Minute,2 - 2.30 hour,Bad,Bad,No
Yes,Male,Commerce,165,64,75,70,70,Video Games,30 - 60 minute,Morning,15000,Yes,75%,30 - 60 Minute,2.30 - 3 hour,Good,good,Yes
Yes,Male,Commerce,190,106,82,78,80,Reading books,1 - 2 Hour,Anytime,25000,Yes,100%,1 - 30 Minute,1.30 - 2 hour,Good,Bad,Yes
No,Male,Commerce,192,85,84,85,80,Cinema,30 - 60 minute,Anytime,25000,Yes,100%,30 - 60 Minute,more than 3 hour,Good,Bad,No
Yes,Male,Commerce,173,58,91,83.5,80,Video Games,1 - 2 Hour,Night,35000,Yes,50%,30 - 60 Minute,2 - 2.30 hour,Bad,good,No
Yes,Female,Commerce,145,60,92,75,90,Cinema,3 - 4 hour,Anytime,18000,Yes,100%,More than 2 hour,0 - 30 minutes,Bad,good,No
Yes,Male,Commerce,170,90,75,75,80,Sports,30 - 60 minute,Anytime,40000,Yes,75%,1 - 1.30 hour,1.30 - 2 hour,Good,good,No
Yes,Male,Commerce,169,65,90,80,85,Cinema,3 - 4 hour,Anytime,20000,Yes,75%,1.30 - 2 hour,more than 3 hour,Good,good,No
Yes,Male,Commerce,175,59,81,64,85,Sports,1 - 2 Hour,Anytime,15000,Yes,50%,1.30 - 2 hour,30 - 60 minutes,Good,good,No
Yes,Female,Commerce,150,42,70,71,91,Sports,1 - 2 Hour,Anytime,20000,Yes,75%,30 - 60 Minute,0 - 30 minutes,Good,Fabulous,No
Yes,Male,Commerce,178,60,70,60,60,Sports,2 - 3 hour,Morning,25000,Yes,50%,1 - 30 Minute,30 - 60 minutes,Good,Bad,Yes
Yes,Female,Commerce,157,40,93,86,85,Cinema,30 - 60 minute,Morning,15000,Yes,50%,More than 2 hour,30 - 60 minutes,Good,Bad,No
